maceta,par,tipo,altura
I,1,cruzada,23.5
I,1,auto,17.375
I,2,cruzada,12
I,2,auto,20.375
I,3,cruzada,21
I,3,auto,20
II,4,cruzada,22
II,4,auto,20
II,5,cruzada,19.125
II,5,auto,18.375
II,6,cruzada,21.5
II,6,auto,18.625
III,7,cruzada,22.125
III,7,auto,18.625
III,8,cruzada,20.375
III,8,auto,15.25
III,9,cruzada,18.25
III,9,auto,16.5
III,10,cruzada,21.625
III,10,auto,18
III,11,cruzada,23.25
III,11,auto,16.25
IV,12,cruzada,21
IV,12,auto,18
IV,13,cruzada,22.125
IV,13,auto,12.75
IV,14,cruzada,23
IV,14,auto,15.5
IV,15,cruzada,12
IV,15,auto,18
