attractivo,genero,alcohol
65,Mujer,Nada
70,Mujer,Nada
60,Mujer,Nada
60,Mujer,Nada
60,Mujer,Nada
55,Mujer,Nada
60,Mujer,Nada
55,Mujer,Nada
70,Mujer,2 vasos
65,Mujer,2 vasos
60,Mujer,2 vasos
70,Mujer,2 vasos
65,Mujer,2 vasos
60,Mujer,2 vasos
60,Mujer,2 vasos
50,Mujer,2 vasos
55,Mujer,4 vasos
65,Mujer,4 vasos
70,Mujer,4 vasos
55,Mujer,4 vasos
55,Mujer,4 vasos
60,Mujer,4 vasos
50,Mujer,4 vasos
50,Mujer,4 vasos
50,Hombre,Nada
55,Hombre,Nada
80,Hombre,Nada
65,Hombre,Nada
70,Hombre,Nada
75,Hombre,Nada
75,Hombre,Nada
65,Hombre,Nada
45,Hombre,2 vasos
60,Hombre,2 vasos
85,Hombre,2 vasos
65,Hombre,2 vasos
70,Hombre,2 vasos
70,Hombre,2 vasos
80,Hombre,2 vasos
60,Hombre,2 vasos
30,Hombre,4 vasos
30,Hombre,4 vasos
30,Hombre,4 vasos
55,Hombre,4 vasos
35,Hombre,4 vasos
20,Hombre,4 vasos
45,Hombre,4 vasos
40,Hombre,4 vasos
