individuo,dia1,dia2,dia3,dia4,dia5,dia6
E1,11.71686018,46.58854571,8.100438191,18.69003592,59.64333598,47.45226322
E2,12.7409055,8.945194756,15.24580004,31.75747573,30.30358923,30.35183839
E3,14.50899913,27.16940301,11.94738111,29.31035509,42.20131533,40.5312894
E4,27.61726479,29.45772245,17.07725883,30.0868847,61.2107141,62.98231235
E5,7.695280729,29.70463937,19.00275716,31.79498751,71.02556279,42.71987399
E6,6.64155356,34.78623512,14.31469126,5.180248642,61.6351727,65.13966665
E7,10.44723705,36.3404938,9.657956056,24.144962,60.55489448,65.38369199
E8,14.49917555,40.12305212,8.106809698,33.5704678,18.50143606,59.39024475
E9,5.621815793,48.77016666,14.5487501,10.44429191,21.02483336,52.42761189
E10,6.96877869,14.64635733,,,,45.23597473
