ind.names,Group,ATP,Acetate,Alanine,Homarine,Isoleucine,Lactate,Leucine,Succinate,Taurine,Threonine,Tyrosine,Valine
Hf10BG,18C,3.991304348,0.908695652,11.6589,3044.326087,0.939130435,1.269565217,1.082608696,0.217391304,758.2365,0.686956522,2.086956522,0.756521739
Hf2BG,18C,2.931578947,0.8,15.236,4593.173684,0.394736842,1.631578947,0.589473684,0.4,689.1245,0.573684211,9.657894737,0.352631579
Hf4BG,18C,1.45,1.320588235,16.325,2537.370588,0.147058824,1.011764706,0.361764706,0.117647059,865.321,0.452941176,4.502941176,0.244117647
Hf5BG,18C,2.466666667,0.807692308,11.365,3063.984615,0.307692308,0.594871795,0.733333333,0.11025641,751.235,0.333333333,4.564102564,0.68974359
Hf6BG,18C,4.776190476,0.914285714,14.6588,4023.495238,0.766666667,2.542857143,0.895238095,0.595238095,569.1234,0.785714286,4.485714286,1.404761905
Hf7BG,18C,3.823809524,0.785714286,14.3658,7304.2,0.547619048,2.452380952,1.119047619,0.652380952,713.2285714,1.1,3.642857143,1.166666667
Hf8BG,18C,5.456521739,3.082608696,12.6985,4120.752174,0.965217391,1.252173913,1.526086957,0.304347826,793.073913,0.734782609,3.947826087,0.895652174
Hf9BG,18C,1.7,1.126086957,19.564,2277.943478,0.352173913,0.791304348,0.452173913,0.191304348,251.5304348,0.52173913,1.873913043,0.356521739
Hf11G,24C,2.655555556,1.172222222,7.894,5115.052778,0.372222222,1.038888889,0.755555556,0.175,464.4944444,0.897222222,7.794444444,0.530555556
Hf12G,24C,1.529508197,2.529508197,6.8979,3506.160656,0.41147541,1.967213115,0.731147541,0.337704918,332.1196721,0.783606557,6.239344262,0.57704918
Hf13G,24C,2.189393939,0.951515152,10.2365,3909.972727,0.690909091,2.054545455,1.733333333,0.160606061,300.7848485,0.921212121,6.354545455,1.209090909
Hf14G,24C,5.969230769,2.361538462,6.897,12666.04615,0.961538462,4.938461538,1.830769231,0.569230769,456.1214,1.946153846,16.75384615,1.330769231
Hf15G,24C,5.918518519,2.996296296,5.644,9008.007407,1.42962963,6.377777778,3.266666667,0.377777778,602.0148148,2.203703704,24.96666667,2.411111111
Hf17G,24C,4.53125,3.128125,8.564,8387.259375,1.5875,7.08125,4.5875,0.3125,695.346875,2.875,5.68125,3.409375
Hf22G,30C,2.681818182,0.790909091,4.227272727,3804.490909,0.409090909,2.490909091,3.6123,0.340909091,348.6454545,1.504545455,7.127272727,0.604545455
Hf23G,30C,3.588235294,2.547058824,2.658,4222.970588,0.823529412,1.988235294,4.675,0.694117647,321.4545,1.829411765,6.641176471,1.329411765
Hf24G,30C,3.25,3.327272727,5.6987,4942.836364,1.163636364,10.70909091,2.909090909,0.2,438.0181818,4.018181818,13.58181818,2.354545455
Hf28G,30C,3.580769231,1.938461538,6.235,4387.361538,0.703846154,2.715384615,2.896,0.507692308,524.3546,1.296153846,9.988461538,4.68
Hf29G,30C,2.31,2.8,4.399,8101.330435,2.104347826,8.734782609,3.92173913,0.152173913,469.231,2.452173913,14.42608696,3.043478261
Hf30G,30C,3.65,3.184615385,7.698,4328.130769,1.573076923,4.976923077,2.346153846,0.242307692,542.9423077,2.169230769,10.48846154,3.66
Hf31G,32C,1.75,2.231034483,3.4585,6152.172414,1.089655172,1.603448276,3.568,0.868965517,758.694,1.331034483,4.203448276,4.68
Hf33G,32C,1.78,1.959259259,2.3656,8981.407407,1.655555556,3.351851852,4.28,1.6,969.7333333,3.914814815,28.13333333,3.433333333
Hf34G,32C,1.25,0.484615385,2.957692308,3879.338462,0.873076923,1.215384615,4.99,0.2,1203.235,0.869230769,5.565384615,5.58
Hf35G,32C,2.05,1.476666667,3.64,2990.26,0.46,1.216666667,5.25,0.396666667,856.231,1.186666667,4.843333333,6.32
Hf36G,32C,1.25,1.6,3.244444444,3209.738889,0.4,1.561111111,4.69,0.405555556,452.8055556,0.661111111,5.505555556,5.25
Hf37G,32C,2.55,4.177272727,4.3784,5379.595455,2.081818182,3.054545455,4.240909091,0.636363636,553.1863636,5.127272727,4.477272727,7.595454545
Hf38G,32C,1.68,1.805,5.369,4630.215,4.275,3.82,4.725,0.42,504.085,4.515,5.96,8.36
Hf40G,32C,1.795238095,1.466666667,4.30952381,1712.27619,0.647619048,1.914285714,5.75,0.242857143,758.694,0.79047619,4.780952381,6.23
